0x80003100 __check_pad3
0x80003130 start
0x80003140 __start
0x80003278 __init_registers
0x80003294 __init_data
0x80003354 __init_hardware
0x80003374 __flush_cache
0x800033A8 memset
0x800033D8 __fill_mem
0x80003490 memcpy
0x80003640 nullsub_1
0x80003644 InitMetroTRK
0x80003658 UpdateStreamedAudio__5CMainFv
0x8000367C RegisterResourceTweaks__5CMainFv
0x800036A0 ResetGameState__5CMainFv
0x800037A0 __ct__12CGameOptionsFRC12CGameOptions
0x80003CD0 __dt__10CGameStateFv
0x80003F84 __dt__12CGameOptionsFv
0x80004074 __ct__12CGameOptionsFRC12CGameOptions_1
0x800041D8 __dt__14CSystemOptionsFv
0x80004324 __ct__18CPersistentOptionsFRC18CPersistentOptions
0x800044A4 StreamNewGameState__5CMainFR12CInputStream
0x80004590 RefreshGameState__5CMainFv
0x800047AC __dt__15CMemoryInStreamFv
0x8000480C nullsub_2
0x80004810 EnsureWorldPaksReady__5CMainFv
0x8000487C EnsureWorldPakReady__5CMainFUi
0x80004AEC AddWorldPaks__5CMainFv
0x80004C5C __pl__4rstlFRCQ24rstl66basic_string<c,Q24rstl14char_traits<c>,Q24rstl17rmemory_allocator>RCQ24rstl66basic_string<c,Q24rstl14char_traits<c>,Q24rstl17rmemory_allocator>
0x80004CB8 string_l__4rstlFPCc
0x80004DC8 RsMain__5CMainFiPCPCc
0x8000585C __dt__18CGameGlobalObjectsFv
0x80005CFC CheckReset__5CMainFv
0x80006034 CheckTerminate__5CMainFv
0x8000603C DrawDebugMetrics__5CMainFdR10CStopwatch
0x80006040 DoPredrawMetrics__5CMainFv
0x80006044 FillInAssetIDs__5CMainFv
0x80006090 GetResourceIdByName__11CResFactoryCFPCc
0x800060B4 AddPaksAndFactories__18CGameGlobalObjectsFv
0x800065DC __dt__18CErrorOutputWindowFv
0x8000663C MemoryCardInitializePump__5CMainFv
0x800066F0 UnloadAudio__24CGameArchitectureSupportFv
0x80006900 LoadAudio__5CMainFv
0x80006934 LoadAudio__24CGameArchitectureSupportFv
0x80006B14 PreloadAudio__24CGameArchitectureSupportFv
0x80006C90 Update__24CGameArchitectureSupportFv
0x80006D00 InsertMsg__18CArchitectureQueueFRC20CArchitectureMessage
0x80006DF0 UpdateTicks__24CGameArchitectureSupportFv
0x80006FEC __dt__24CGameArchitectureSupportFv
0x80007138 __ct__24CGameArchitectureSupportFR10COsContext
0x800075F4 LoadStringTable__18CGameGlobalObjectsFv
0x800076DC PostInitialize__18CGameGlobalObjectsFR10COsContextR10CMemorySys
0x80007A2C GetNewDerivedObject__35TObjOwnerDerivedFromIObj<8CTexture>FP8CTexture
0x80007ABC __ct__18CGameGlobalObjectsFv
0x80007E68 ShutdownSubsystems__5CMainFv
0x80007F04 InitializeSubsystems__5CMainFv
0x80008054 __dt__5CMainFv
0x80008204 __ct__5CMainFv
0x80008504 main
0x80008640 __dt__11CWorldStateFv
0x8000877C __nw__38TOneStatic<24CGameArchitectureSupport>FUlPCcPCc
0x800087AC __dl__38TOneStatic<24CGameArchitectureSupport>FPv
0x800087D8 GetAllocSpace__38TOneStatic<24CGameArchitectureSupport>Fv
0x800087E4 ReferenceCount__38TOneStatic<24CGameArchitectureSupport>Fv
0x80008808 __nw__32TOneStatic<18CGameGlobalObjects>FUlPCcPCc
0x80008838 __dl__32TOneStatic<18CGameGlobalObjects>FPv
0x80008864 GetAllocSpace__32TOneStatic<18CGameGlobalObjects>Fv
0x80008870 ReferenceCount__32TOneStatic<18CGameGlobalObjects>Fv
0x80008894 GetAverageValue<f>__FPCfi
0x8000895C reserve__Q24rstl42vector<6CToken,Q24rstl17rmemory_allocator>Fi
0x80008A4C reserve__Q24rstl47vector<10SScanState,Q24rstl17rmemory_allocator>Fi
0x80008F68 __dt__12CPlayerStateFv
0x80009148 GetCameraBobMagnitude__14CCameraManagerCFv
0x80009204 GetSpindleCameraId__14CCameraManagerCFv
0x80009210 SetSpindleCamera__14CCameraManagerF9TUniqueIdR13CStateManager
0x800092BC GetPathCameraId__14CCameraManagerCFv
0x800092C8 SetPathCamera__14CCameraManagerF9TUniqueIdR13CStateManager
0x80009374 HasCameraHint__14CCameraManagerCFR13CStateManager
0x800093D0 GetCameraHint__14CCameraManagerCFR13CStateManager
0x80009410 SetupBallCamera__14CCameraManagerFR13CStateManager
