0x80003490 memcpy
0x80015a6c wstring_l__4rstlFPCw
0x800205cc FinishedLoading__19SNewFileSelectFrame
0x80023034 __sinit_CFrontEndUI_cpp
0x80023600 SetGameState__9CMainFlowF17EClientFlowStatesR18CArchitectureQueue
0x800238d0 AdvanceGameState__9CMainFlowFR18CArchitectureQueue
0x80023984 OnMessage__9CMainFlowFRC20CArchitectureMessageR18CArchitectureQueue
0x80044db4 UpdateHintState__13CStateManagerFf
0x80049e50 ApplyLocalDamage__13CStateManagerFRC9CVector3fRC9CVector3fR6CActorfRC11CWeaponMode
0x8006bce4 DisplayHudMemo__9CSamusHudFRC7wstringRC12SHudMemoInfo
0x80091c10 DecrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80091c6c IncrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80091de4 InitializePowerUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x8014f7b4 ThinkAreaDamage__22CScriptSpecialFunctionFfR13CStateManager
0x80151728 ThinkSaveStation__22CScriptSpecialFunctionFfR13CStateManager
0x801518e4 ShouldSkipCinematic__22CScriptSpecialFunctionFR13CStateManager
0x80167d80 IsAreaVisible__13CMapWorldInfoCF7TAreaId
0x80167dfc IsAreaVisited__13CMapWorldInfoCF7TAreaId
0x801683a0 IsMapped__13CMapWorldInfoCF7TAreaId
0x801684bc IsWorldVisible__13CMapWorldInfoCF7TAreaId
0x80191968 SetNumMissiles__20CHudMissileInterfaceFiRC13CStateManager
0x801cd6b4 SetBombParams__17CHudBallInterfaceFiiibbb
0x801d39c0 SetCurrentWorldId__10CGameStateFUi
0x801d3a04 GetCurrentWorldState__10CGameStateCFv
0x801d3a28 CurrentWorldState__10CGameStateFv
0x801d3a54 StateForWorld__10CGameStateFUi
0x801d4db8 SetDesiredAreaAssetId__11CWorldStateFUi
0x801d50ec __ct__11CWorldStateFUi
0x801d59e4 __ct__14CSystemOptionsFRC12CInputStream
0x801d5f84 __ct__14CSystemOptionsFv
0x8020f268 ResetToDefaults__12CGameOptionsFv
0x8023433c SetLayerActive__16CWorldLayerStateFiib
0x802c2200 FindWidget__9CGuiFrameCFPCc
0x802c9930 SetText__15CGuiTextSupportFRCQ24rstl66basic_string<w,Q24rstl14char_traits<w>,Q24rstl17rmemory_allocator>
0x802d6a04 CrashScreenControllerPollBranch
0x803158f8 __nw__FUlPCcPCc
0x80315a10 Free__7CMemoryFPCv
0x8033d214 internal_dereference__Q24rstl66basic_string<w,Q24rstl14char_traits<w>,Q24rstl17rmemory_allocator>Fv
0x80356800 GetString__12CStringTableCFi
0x8036fa98 PPCSetFpIEEEMode
0x80371860 DVDOpen
0x80371928 DVDClose
0x80371b70 DVDReadAsyncPrio
0x8038236c OSLink
0x8038deb8 sprintf
0x8038e08c printf
0x803cc768 __build_info
0x803cd8a0 CPlayerState_PowerUpMaxValues
0x803cecb0 BallGlowColors
0x803ceccc BallTransFlashColors
0x803cece8 BallAuxGlowColors
0x803ced04 BallSwooshColors
0x803ced20 BallSwooshColorsCharged
0x803ced3c BallSwooshColorsJaggy
0x803ced58 skBallInnerGlowColors
0x803d49ac aMetroidprimeA
0x803d49bb aMetroidprimeB
0x803daf20 IncrPickUpSwitchCaseData
0x8045a388 g_StateManager
0x805a8e14 g_MainStringTable
0x805a8e18 g_Main
0x805a8e20 g_GameState
0x805aaa0c g_EtankCapacity
