0x80003490 memcpy
0x80008ad4 __nw__FUlPCcPCc
0x8001660c wstring_l__4rstlFPCw
0x80021a20 FinishedLoading__19SNewFileSelectFrame
0x8002545c __sinit_CFrontEndUI_cpp
0x80025a08 SetGameState__9CMainFlowF17EClientFlowStatesR18CArchitectureQueue
0x80025cd8 AdvanceGameState__9CMainFlowFR18CArchitectureQueue
0x80025d8c OnMessage__9CMainFlowFRC20CArchitectureMessageR18CArchitectureQueue
0x80046d9c UpdateHintState__13CStateManagerFf
0x8004bf5c ApplyLocalDamage__13CStateManagerFRC9CVector3fRC9CVector3fR6CActorfRC11CWeaponMode
0x8006d57c DisplayHudMemo__9CSamusHudFRC7wstringRC12SHudMemoInfo
0x80092d0c HasPowerUp__12CPlayerStateCFQ212CPlayerState9EItemType
0x80092de0 DecrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80092e3c IncrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80092f4c ResetAndIncrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80092f7c CalculateHealth__12CPlayerStateFUi
0x80092fb4 InitializePowerUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x800ed264 ComputeBoostBallMovement__10CMorphBallFRC11CFinalInputRC13CStateManagerf
0x800ef664 ComputeMarioMovement__10CMorphBallFRC11CFinalInputR13CStateManagerf
0x800f1a3c IsMovementAllowed__10CMorphBallCFv
0x800f1acc ComputeBallMovement__10CMorphBallFRC11CFinalInputR13CStateManagerf
0x801477f0 ThinkAreaDamage__22CScriptSpecialFunctionFfR13CStateManager
0x801496b0 ThinkSaveStation__22CScriptSpecialFunctionFfR13CStateManager
0x80149834 ShouldSkipCinematic__22CScriptSpecialFunctionFR13CStateManager
0x8015ed64 IsAreaVisible__13CMapWorldInfoCF7TAreaId
0x8015ede0 IsAreaVisited__13CMapWorldInfoCF7TAreaId
0x8015f390 IsMapped__13CMapWorldInfoCF7TAreaId
0x8015f48c IsWorldVisible__13CMapWorldInfoCF7TAreaId
0x801a945c GetEnergyDrainIntensity__18CPlayerEnergyDrainCFv
0x801c1bd4 SetBombParams__17CHudBallInterfaceFiiibbb
0x801c7b60 SetCurrentWorldId__10CGameStateFUi
0x801c7ba4 GetCurrentWorldState__10CGameStateCFv
0x801c7bc8 CurrentWorldState__10CGameStateFv
0x801c7bf4 StateForWorld__10CGameStateFUi
0x801c91c8 SetDesiredAreaAssetId__11CWorldStateFUi
0x801c94fc __ct__11CWorldStateFUi
0x801c9994 __ct__14CSystemOptionsFRC12CInputStream
0x801c9d04 __ct__14CSystemOptionsFv
0x80201ebc ResetToDefaults__12CGameOptionsFv
0x80225d14 SetLayerActive__16CWorldLayerStateFiib
0x80274544 BombJump__7CPlayerFRC9CVector3fR13CStateManager
0x802770a8 SidewaysDashAllowed__7CPlayerCFffRC11CFinalInputR13CStateManager
0x802aff54 FindWidget__9CGuiFrameCFPCc
0x802b75f0 SetText__15CGuiTextSupportFRCQ24rstl66basic_string<w,Q24rstl14char_traits<w>,Q24rstl17rmemory_allocator>
0x802c4280 CrashScreenControllerPollBranch
0x80300520 Free__7CMemoryFPCv
0x803277dc internal_dereference__Q24rstl66basic_string<w,Q24rstl14char_traits<w>,Q24rstl17rmemory_allocator>Fv
0x803419fc GetString__12CStringTableCFi
0x8035b6dc PPCSetFpIEEEMode
0x8035d4a4 DVDOpen
0x8035d56c DVDClose
0x8035d7b4 DVDReadAsyncPrio
0x8036e02c OSLink
0x80379ab8 sprintf
0x80379c8c printf
0x803b86cc __build_info
0x803b9a50 CPlayerState_PowerUpMaxValues
0x803baeb8 BallGlowColors
0x803baed4 BallTransFlashColors
0x803baef0 BallAuxGlowColors
0x803baf0c BallSwooshColors
0x803baf28 BallSwooshColorsCharged
0x803baf44 BallSwooshColorsJaggy
0x803baf60 skBallInnerGlowColors
0x803c0d24 aMetroidprime
0x803c7038 IncrPickUpSwitchCaseData
0x80443030 g_StateManager
0x80591cd4 g_MainStringTable
0x80591cd8 g_Main
0x80591ce0 g_GameState
0x805939f4 g_EtankCapacity
