0x80003490 memcpy
0x80015a64 wstring_l__4rstlFPCw
0x800205c4 FinishedLoading__19SNewFileSelectFrame
0x8002302c __sinit_CFrontEndUI_cpp
0x800235f8 SetGameState__9CMainFlowF17EClientFlowStatesR18CArchitectureQueue
0x800238c8 AdvanceGameState__9CMainFlowFR18CArchitectureQueue
0x8002397c OnMessage__9CMainFlowFRC20CArchitectureMessageR18CArchitectureQueue
0x80029270 __ct__13CSplashScreenFQ213CSplashScreen13ESplashScreen
0x80044dac UpdateHintState__13CStateManagerFf
0x80049e48 ApplyLocalDamage__13CStateManagerFRC9CVector3fRC9CVector3fR6CActorfRC11CWeaponMode
0x8006bcdc DisplayHudMemo__9CSamusHudFRC7wstringRC12SHudMemoInfo
0x800919e8 ResetVisor__12CPlayerStateFv
0x80091a00 ItemEnabled__12CPlayerStateCFQ212CPlayerState9EItemType
0x80091a64 DisableItem__12CPlayerStateFQ212CPlayerState9EItemType
0x80091ab8 EnableItem__12CPlayerStateFQ212CPlayerState9EItemType
0x80091b0c GetPowerUp__12CPlayerStateFQ212CPlayerState9EItemType
0x80091b34 HasPowerUp__12CPlayerStateCFQ212CPlayerState9EItemType
0x80091c08 DecrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80091c64 IncrPickUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x80091ddc InitializePowerUp__12CPlayerStateFQ212CPlayerState9EItemTypei
0x8009233c __ct__12CPlayerStateFv
0x800f4420 ComputeBoostBallMovement__10CMorphBallFRC11CFinalInputRC13CStateManagerf
0x800f68ec ComputeMarioMovement__10CMorphBallFRC11CFinalInputR13CStateManagerf
0x800f8d0c IsMovementAllowed__10CMorphBallCFv
0x800f8d9c ComputeBallMovement__10CMorphBallFRC11CFinalInputR13CStateManagerf
0x8014f7ac ThinkAreaDamage__22CScriptSpecialFunctionFfR13CStateManager
0x80151720 ThinkSaveStation__22CScriptSpecialFunctionFfR13CStateManager
0x801518dc ShouldSkipCinematic__22CScriptSpecialFunctionFR13CStateManager
0x80167d78 IsAreaVisible__13CMapWorldInfoCF7TAreaId
0x80167df4 IsAreaVisited__13CMapWorldInfoCF7TAreaId
0x80168398 IsMapped__13CMapWorldInfoCF7TAreaId
0x801684b4 IsWorldVisible__13CMapWorldInfoCF7TAreaId
0x80191960 SetNumMissiles__20CHudMissileInterfaceFiRC13CStateManager
0x801b4708 GetEnergyDrainIntensity__18CPlayerEnergyDrainCFv
0x801cd6ac SetBombParams__17CHudBallInterfaceFiiibbb
0x801d39b8 SetCurrentWorldId__10CGameStateFUi
0x801d39fc GetCurrentWorldState__10CGameStateCFv
0x801d3a20 CurrentWorldState__10CGameStateFv
0x801d3a4c StateForWorld__10CGameStateFUi
0x801d4db0 SetDesiredAreaAssetId__11CWorldStateFUi
0x801d50e4 __ct__11CWorldStateFUi
0x801d59dc __ct__14CSystemOptionsFRC12CInputStream
0x801d5f7c __ct__14CSystemOptionsFv
0x8020f260 ResetToDefaults__12CGameOptionsFv
0x80234334 SetLayerActive__16CWorldLayerStateFiib
0x80282e28 LeaveMorphBallState__7CPlayerFR13CStateManager
0x80282ffc EnterMorphBallState__7CPlayerFR13CStateManager
0x802854f8 BombJump__7CPlayerFRC9CVector3fR13CStateManager
0x802c2290 FindWidget__9CGuiFrameCFPCc
0x802c99c0 SetText__15CGuiTextSupportFRCQ24rstl66basic_string<w,Q24rstl14char_traits<w>,Q24rstl17rmemory_allocator>
0x802d6a94 CrashScreenControllerPollBranch
0x80315988 __nw__FUlPCcPCc
0x80315aa0 Free__7CMemoryFPCv
0x8033d2a4 internal_dereference__Q24rstl66basic_string<w,Q24rstl14char_traits<w>,Q24rstl17rmemory_allocator>Fv
0x80356890 GetString__12CStringTableCFi
0x8036fb28 PPCSetFpIEEEMode
0x803718f0 DVDOpen
0x803719b8 DVDClose
0x80371c00 DVDReadAsyncPrio
0x80382300 OSLink
0x8038dde0 sprintf
0x8038dfb4 printf
0x803cc688 __build_info
0x803cd7c0 CPlayerState_PowerUpMaxValues
0x803cebd0 BallGlowColors
0x803cebec BallTransFlashColors
0x803cec08 BallAuxGlowColors
0x803cec24 BallSwooshColors
0x803cec40 BallSwooshColorsCharged
0x803cec5c BallSwooshColorsJaggy
0x803cec78 skBallInnerGlowColors
0x803d48dc aMetroidprimeA
0x803d48eb aMetroidprimeB
0x803dae40 IncrPickUpSwitchCaseData
0x80459e88 g_StateManager
0x805a8914 g_MainStringTable
0x805a8918 g_Main
0x805a8920 g_GameState
0x805aa50c g_EtankCapacity
