0x80003100 __check_pad3
0x80003354 __init_hardware
0x80003374 __flush_cache
0x800033a8 memset
0x800033d8 __fill_mem
0x80003490 memcpy
0x800063b8 FillInAssetIDs__5CMainFv
0x80006dcc LoadAudio__5CMainFv
0x800070dc Update__24CGameArchitectureSupportFv
0x8000857c __dt__5CMainFv
0x8000872c __ct__5CMainFv
0x800089a4 __nw__FUlPCcPCc
0x80008a04 sub_800085c4
0x80008a84 sub_80008644
0x80008db4 GetAverageValue<f>__FPCfi
0x800099e0 HasCameraHint__14CCameraManagerCFR13CStateManager
0x8000ac48 SkipBallCameraCinematic__14CCameraManagerFR13CStateManager
0x8000ad10 InterpolateToBallCamera__14CCameraManagerFRC12CTransform4f9TUniqueIdRC9CVector3ffffbR13CStateManager
0x8000adf0 SetPlayerCamera__14CCameraManagerFR13CStateManager9TUniqueId
0x8000ae8c sub_8000a9a4
0x8000aebc GetGlobalCameraTranslation__14CCameraManagerCFRC13CStateManager
0x8000af10 GetCurrentCameraTransform__14CCameraManagerCFRC13CStateManager
0x8000bad8 sub_8000b83c
0x8000c0b0 GetLastCineCameraId__14CCameraManagerCFv
0x8000c0e0 GetCurrentCameraId__14CCameraManagerCFv
0x8000cd00 SetCommandFiltered__13ControlMapperFQ213ControlMapper9ECommandsb
0x8000db84 ADPUp__11CFinalInputCFv
0x8000e84c SkipCinematic__18CFirstPersonCameraFv
0x8000e874 Reset__18CFirstPersonCameraFRC12CTransform4fR13CStateManager
0x8001052c AddObject__11CObjectListFR7CEntity
0x800106d4 __ct__Q211CObjectList16SObjectListEntryFv
0x80010ce4 sub_80010b88
0x800110d4 IsEnergyLow__7CPlayerCFRC13CStateManager
0x80011708 SetPlayerHitWallDuringMove__7CPlayerFv
0x80011720 ApplySubmergedPitchBend__7CPlayerFR10CSfxHandle
0x80012290 IncrementPhazon__7CPlayerFv
0x800123d8 SetControlDirectionInterpolation__7CPlayerFf
0x80012644 GetDamageVulnerability__7CPlayerCFRC9CVector3fRC9CVector3fRC11CDamageInfo
0x80013258 HealthInfo__7CPlayerFR13CStateManager
0x800142dc RenderGun__7CPlayerCFRC13CStateManagerRC9CVector3f
0x80014e18 CalculateRenderBounds__7CPlayerFv
0x800153dc DetachActorFromPlayer__7CPlayerFv
0x80015408 AttachActorToPlayer__7CPlayerF9TUniqueId
0x80015478 CalculateLeftStickEdgePosition__7CPlayerCFff
0x80015578 GetMaximumPlayerPositiveVerticalVelocity__7CPlayerCFRC13CStateManager
0x80015794 ProcessInput__7CPlayerFRC11CFinalInputR13CStateManager
0x8001631c wstring_l__4rstlFPCw
0x80016e44 PreThink__7CPlayerFfR13CStateManager
0x80018444 SetSteam__Q27CPlayer11CVisorSteamFfffUib
0x80018620 __ct__Q27CPlayer11CVisorSteamFv
0x80018d5c UpdatePlayerSounds__7CPlayerFf
0x80018dc4 UpdateCrosshairsState__7CPlayerFRC11CFinalInput
0x80018e00 UpdateVisorTransition__7CPlayerFfR13CStateManager
0x800196cc __ct__10CModelDataFRC10CModelData
0x80019808 ForceGunOrientation__7CPlayerFRC12CTransform4fR13CStateManager
0x80019a0c GetFirstPersonCameraTransform__7CPlayerCFR13CStateManager
0x8001a6e4 ResetAimTargetPrediction__7CPlayerF9TUniqueId
0x8001ab54 IsMorphBallTransitioning__7CPlayerCFv
0x8001b7ac MakePlayerAnimres__FUiRC9CVector3f
0x8001b7e4 SetMaterial__19CCollisionPrimitiveFRC13CMaterialList
0x8001b994 GetAverageValue<9CVector3f>__FPC9CVector3fi
0x8001bd94 __pl__FRC10CAxisAngleRC10CAxisAngle
0x8001bdc8 __ml__FRCfRC10CAxisAngle
0x8001bdf4 __ml__FRC10CAxisAngleRCf
0x8001be20 __apl__10CAxisAngleFRC10CAxisAngle
0x8001be54 __amu__10CAxisAngleFRCf
0x8001becc __ct__10CAxisAngleFRC13CUnitVector3ff
0x8001c32c sub_8001bc9c
0x8001c53c SetFadeBlackWithMovie__11CFrontEndUIFv
